EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.
List of signals with length and its max. frequency / current
exported from C:/Users/akira/Documents/EAGLE/projects/GW1NSR-4C/board.brd
at 2021/09/03 6:23
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
N$1	  23553.43	 12.729	0.005	  41.52	 0.152	 0.152	  0.50
N$10	  27117.67	 11.056	0.005	  36.06	 0.152	 0.152	  0.50
N$2	  27897.82	 10.746	0.005	  35.06	 0.152	 0.152	  0.50
N$9	  33287.59	  9.006	0.005	  29.38	 0.152	 0.152	  0.50
N$3	  34761.19	  8.625	0.005	  28.13	 0.152	 0.152	  0.50
N$8	  43546.71	  6.885	0.005	  22.46	 0.152	 0.152	  0.50
N$4	  46103.54	  6.503	0.005	  21.21	 0.152	 0.152	  0.50
N$7	  53121.56	  5.644	0.005	  18.41	 0.152	 0.152	  0.50
N$5	  54728.26	  5.478	0.005	  17.87	 0.152	 0.152	  0.50
N$6	  63019.70	  4.757	0.005	  15.52	 0.152	 0.152	  0.50
